frame,hip_angle_left,hip_angle_right
0,2.0487413540112493,2.0672509820079257
1,2.0038327208716797,2.141993275983528
2,1.9192404674357173,2.25517502889009
3,1.8070689622665292,2.366004508336227
4,1.6862910578464858,2.4525178617153354
5,1.5776386709785086,2.508711250689006
6,1.4982505163333044,2.5356048113478313
7,1.4635994324925625,2.542580021456655
8,1.495400035804917,2.552688053087466
9,1.6298836534147567,2.59573648195101
10,1.9177518372389344,2.680779201077308
11,2.4005671830264355,2.769713426656421
12,3.0734071610160316,2.791406110987836
13,3.8861524944763732,2.6990523944084095
14,4.797064920700721,2.522093055784432
15,5.800887640777333,2.3599914238532955
16,6.870565429217414,2.3100947316323945
17,7.872180204090041,2.381008774202597
18,8.573658757761805,2.4718420205933143
19,8.795655961287899,2.4528241683492613
20,8.606815997305015,2.28812499437621
21,8.369104989078465,2.0885166594350024
22,8.531624221196058,2.031535568892984
23,9.327867727629624,2.217241094723486
24,10.651899491999636,2.604022481703221
25,12.190527649969686,3.0805130470534237
26,13.632972936727382,3.5722115569350947
27,14.779371715323293,4.058709375014886
28,15.542550556232566,4.509890825611779
29,15.923180361382975,4.850905749181923
30,15.982882296236426,5.008575808425038
31,15.790190978925096,4.973257699076949
32,15.358663747176635,4.794815479139546
33,14.642575025027455,4.522591326489293
34,13.602946388031356,4.16503132334875
35,12.264660916121084,3.70852425192855
36,10.697292703922795,3.164374740066798
37,8.963460047607233,2.5963401488475544
38,7.134082228065852,2.108521064361082
39,5.374464210807503,1.7975511077672874
40,3.962543888548396,1.6952049577507082
41,3.136843940722311,1.7443681659330663
42,2.8968852412354003,1.8266872250242998
43,2.984828011166413,1.8205884188993477
44,3.0799357145224904,1.661430749934445
45,3.0039703825703934,1.3766539362962307
46,2.7642001302359227,1.0716450445411305
47,2.4581805850850387,0.8821688368893484
48,2.1695764256601664,0.9426586125742021
49,1.9389036966307078,1.3806357127844329
50,1.79952518280505,2.3017605776290457
51,1.817611964259782,3.742972347782432
52,2.082823421023977,5.619041022788482
53,2.647605618943686,7.72504366558168
54,3.469730334088354,9.833353407139734
55,4.422243401503631,11.822079495528666
56,5.378993324752868,13.708928566276903
57,6.296574334642179,15.569348973540627
58,7.199477423188577,17.450160298205393
59,8.094131371189302,19.341655424387397
60,8.93897096945562,21.15368541205045
61,9.708634271230734,22.677229682617632
62,10.440852904734031,23.614222539311992
63,11.183740470373886,23.71881773961019
64,11.906566375329053,22.959812569775373
65,12.484486149287088,21.563556436846568
66,12.768864428565177,19.883297917319645
67,12.66375538853935,18.18815346513162
68,12.147379511354,16.547738132455574
69,11.257797080441705,14.894395300606845
70,10.082575262381932,13.159693384587202
71,8.74000115705367,11.333540345939115
72,7.334555592969943,9.431275876303754
73,5.929040050717131,7.475806647361334
74,4.5699728941174635,5.542878868091085
75,3.3272387330083792,3.7940697896909383
76,2.2941413945861453,2.418496722907098
77,1.5525671704593516,1.517468517864997
78,1.14853372259371,1.0453354995004303
79,1.1003805402926987,0.8645284612552864
80,1.419180468676401,0.8568954145482091
81,2.1123162556979946,0.993209212957726
82,3.1624371440913612,1.311269159964657
83,4.506202625524922,1.8208928898267494
84,6.045008741485604,2.422570786510106
85,7.68679492909459,2.9408701544776226
86,9.374975089641218,3.2559122798844324
87,11.066994531653332,3.3796531207094342
88,12.681736671222378,3.383207558085769
89,14.076459801313527,3.280760124436567
90,15.092431936758823,3.0315470573721117
91,15.643467251500438,2.6520132843912525
92,15.771274956214734,2.2788341513991286
93,15.612278369000688,2.0913794564100106
94,15.308656301291478,2.1805660327744936
95,14.961357500956833,2.5015599495991463
96,14.67835586297081,2.9436582940852825
97,14.627755148576982,3.435794068105735
98,14.959390292743118,3.9792934358492413
99,15.634158469081976,4.571936917636898
100,16.374437071630002,5.124662976893077
101,16.834430451454285,5.496298696975862
102,16.8170163853707,5.603957894626588
103,16.31499362925397,5.461841230433147
104,15.381027534755091,5.127471762757799
105,14.014278762873147,4.656379126931563
106,12.190311665656806,4.106627928576337
107,9.982885153011843,3.5515151282985458
108,7.641873321762015,3.074696085188258
109,5.54277773892211,2.750780179613979
110,4.018339946581382,2.6096390622728016
111,3.1766070422912454,2.608415563095663
112,2.8598849942499442,2.6595331734461554
113,2.78909979260939,2.7042885860912578
114,2.7494636834363435,2.755666663072105
115,2.6544875366971534,2.8742288358930144
116,2.4963032064645136,3.119857521847582
117,2.303469789832503,3.529498973696213
118,2.155231748471686,4.1274765516039045
119,2.198227220450366,4.945306587468712
120,2.6124084197623323,6.021040698290893
121,3.524133660380516,7.352774036172912
122,4.892688467140265,8.824467173671769
123,6.453176454280644,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,0.4065285332440577,2.31914573954082
161,0.41311940608704584,2.326300380058099
162,0.4042449096947512,2.305890565532488
163,0.37023040315668254,2.247169287260535
164,0.3146481387338481,2.1562673750001378
165,0.2552759175283518,2.0548967703033143
166,0.21378088782620355,1.9685373434292337
167,0.20228926727984042,1.9107117734973105
168,0.21881789515320527,1.8796231141711377
169,0.2516850300976442,1.8680663276740361
170,0.28577134275508725,1.8696927268936925
171,0.30712687564718505,1.8753775672840134
